X1 Y1 EntropyDrone1 X2 Y2 EntropyDrone2 X3 Y3 EntropyDrone3 TimeDifference
-3.7568349838256836 25.700020909309387 2.0 -96.24115133285522 25.69334363937378 2.0 -196.25013709068298 25.702382028102875 2.0 3.556058645248413
-3.8167049884796143 25.703421652317047 2.0 -96.18127179145813 25.696704983711243 2.0 -196.19029927253723 25.705787539482117 2.0 3.5878467559814453
-3.876821994781494 25.706780791282654 2.0 -96.12114548683167 25.70002520084381 2.0 -196.1302146911621 25.70915126800537 2.0 3.621382713317871
-3.9481825828552246 25.71069771051407 2.0 -96.04977416992188 25.703896820545197 2.0 -196.05339074134827 25.713372766971588 2.0 3.662062168121338
-4.00882625579834 25.7139675617218 2.0 -95.98912143707275 25.70712900161743 2.0 -195.99827814102173 25.716347634792328 2.0 3.693777084350586
-4.069706916809082 25.7171972990036 2.0 -95.928231716156 25.710321605205536 2.0 -195.93742847442627 25.719581604003906 2.0 3.725813388824463
-4.130821228027344 25.720387399196625 2.0 -95.86710929870605 25.713475048542023 2.0 -195.8763427734375 25.722775757312775 2.0 3.7589879035949707
-4.197754859924316 25.723822832107544 2.0 -95.80016708374023 25.716871082782745 2.0 -195.80944061279297 25.726215541362762 2.0 3.794525623321533
-4.270571708679199 25.727492690086365 2.0 -95.72733974456787 25.720499098300934 2.0 -195.73104667663574 25.730170369148254 2.0 3.8368771076202393
-4.3437018394470215 25.731109499931335 2.0 -95.65420007705688 25.72407478094101 2.0 -195.6635627746582 25.73351114988327 2.0 3.8759729862213135
-4.400166034698486 25.733856081962585 2.0 -95.59772872924805 25.726790189743042 2.0 -195.60712480545044 25.736261010169983 2.0 3.9045233726501465
-4.456810474395752 25.736572086811066 2.0 -95.54107666015625 25.729475677013397 2.0 -195.55050563812256 25.73898023366928 2.0 3.9346024990081787
-4.513633728027344 25.73925817012787 2.0 -95.4785532951355 25.73239529132843 2.0 -195.48801851272583 25.741936564445496 2.0 3.9668147563934326
-4.582054138183594 25.74244213104248 2.0 -95.41010332107544 25.73553991317749 2.0 -195.4196071624756 25.745120525360107 2.0 4.002551078796387
-4.66793155670166 25.74636274576187 2.0 -95.32992935180664 25.739156246185303 2.0 -195.3394775390625 25.748781859874725 2.0 4.045994520187378
-4.736910820007324 25.749452710151672 2.0 -95.26094198226929 25.74221181869507 2.0 -195.27052783966064 25.75187522172928 2.0 4.082145929336548
-4.800355434417725 25.752249360084534 2.0 -95.1974892616272 25.744977593421936 2.0 -195.2013339996338 25.754927814006805 2.0 4.116354942321777
-4.869797229766846 25.755261838436127 2.0 -95.12803983688354 25.74795687198639 2.0 -195.13190126419067 25.757940232753754 2.0 4.152405261993408
-4.933659553527832 25.757988572120667 2.0 -95.06416988372803 25.750653743743896 2.0 -195.07385969161987 25.760420382022858 2.0 4.184332609176636
-4.991886615753174 25.760438919067383 2.0 -95.00593614578247 25.753077447414398 2.0 -195.01565599441528 25.76287341117859 2.0 4.213892936706543
